State,State_numerical,Year,Population
Rhode Island,44,2003,1071342
Rhode Island,44,2004,1074579
Rhode Island,44,2005,1067916
Rhode Island,44,2006,1063096
Rhode Island,44,2007,1057315
Rhode Island,44,2008,1055003
Rhode Island,44,2009,1053646
Rhode Island,44,2010,1053994
Rhode Island,44,2011,1053829
Rhode Island,44,2012,1054893
Rhode Island,44,2013,1055560
Rhode Island,44,2014,1056511
Rhode Island,44,2015,1056886
Rhode Island,44,2016,1057816
Rhode Island,44,2017,1056554
Rhode Island,44,2018,1059338
Rhode Island,44,2019,1058158
Rhode Island,44,2020,1096530
Rhode Island,44,2021,1097246
Rhode Island,44,2022,1099498
Rhode Island,44,2023,1103429
Rhode Island,44,2024,1112308
South Carolina,45,2000,4024223
South Carolina,45,2001,4064995
South Carolina,45,2002,4107795
South Carolina,45,2003,4150297
South Carolina,45,2004,4210921
South Carolina,45,2005,4270150
South Carolina,45,2006,4357847
South Carolina,45,2007,4444110
South Carolina,45,2008,4528996
South Carolina,45,2009,4589872
South Carolina,45,2010,4635846
South Carolina,45,2011,4672655
South Carolina,45,2012,4719027
South Carolina,45,2013,4766469
South Carolina,45,2014,4826858
South Carolina,45,2015,4896006
South Carolina,45,2016,4963031
South Carolina,45,2017,5027102
South Carolina,45,2018,5091702
South Carolina,45,2019,5157702
South Carolina,45,2020,5132249
South Carolina,45,2021,5194274
South Carolina,45,2022,5287935
South Carolina,45,2023,5387830
South Carolina,45,2024,5478831
South Dakota,46,2000,755844
South Dakota,46,2001,757972
South Dakota,46,2002,760020
South Dakota,46,2003,763729
South Dakota,46,2004,770396
South Dakota,46,2005,775493
South Dakota,46,2006,783033
South Dakota,46,2007,791623
South Dakota,46,2008,799124
South Dakota,46,2009,807067
South Dakota,46,2010,816193
South Dakota,46,2011,823740
South Dakota,46,2012,833859
South Dakota,46,2013,842751
South Dakota,46,2014,849670
South Dakota,46,2015,854663
South Dakota,46,2016,863693
South Dakota,46,2017,873732
South Dakota,46,2018,879386
South Dakota,46,2019,887127
South Dakota,46,2020,887948
South Dakota,46,2021,896492
South Dakota,46,2022,909723
South Dakota,46,2023,918305
South Dakota,46,2024,924669
Tennessee,47,2000,5703719
Tennessee,47,2001,5750789
Tennessee,47,2002,5795918
Tennessee,47,2003,5847812
Tennessee,47,2004,5910809
Tennessee,47,2005,5991057
Tennessee,47,2006,6088766
Tennessee,47,2007,6175727
Tennessee,47,2008,6247411
Tennessee,47,2009,6306019
Tennessee,47,2010,6355518
Tennessee,47,2011,6400298
Tennessee,47,2012,6455752
Tennessee,47,2013,6496943
Tennessee,47,2014,6544617
Tennessee,47,2015,6595354
Tennessee,47,2016,6651277
Tennessee,47,2017,6714748
Tennessee,47,2018,6778180
Tennessee,47,2019,6830325
Tennessee,47,2020,6927904
Tennessee,47,2021,6965740
Tennessee,47,2022,7062217
Tennessee,47,2023,7148304
Tennessee,47,2024,7227750
Texas,48,2000,20944499
Texas,48,2001,21319622
Texas,48,2002,21690325
Texas,48,2003,22030931
Texas,48,2004,22394023
Texas,48,2005,22778123
Texas,48,2006,23359580
Texas,48,2007,23831983
Texas,48,2008,24309039
Texas,48,2009,24801761
Texas,48,2010,25241897
Texas,48,2011,25645504
Texas,48,2012,26084120
Texas,48,2013,26479646
Texas,48,2014,26963092
Texas,48,2015,27468531
Texas,48,2016,27914064
Texas,48,2017,28291024
Texas,48,2018,28624564
Texas,48,2019,28986794
Texas,48,2020,29239570
Texas,48,2021,29570351
Texas,48,2022,30113488
Texas,48,2023,30727890
Texas,48,2024,31290831
Utah,49,2000,2244502
Utah,49,2001,2283715
Utah,49,2002,2324815
Utah,49,2003,2360137
Utah,49,2004,2401580
Utah,49,2005,2457719
Utah,49,2006,2525507
Utah,49,2007,2597746
Utah,49,2008,2663029
Utah,49,2009,2723421
Utah,49,2010,2775413
Utah,49,2011,2814797
Utah,49,2012,2854146
Utah,49,2013,2898773
Utah,49,2014,2938327
Utah,49,2015,2983626
Utah,49,2016,3044241
Utah,49,2017,3103540
Utah,49,2018,3155153
Utah,49,2019,3203383
Utah,49,2020,3284077
Utah,49,2021,3339738
Utah,49,2022,3391011
Utah,49,2023,3443222
Utah,49,2024,3503613
Vermont,50,2000,609618
Vermont,50,2001,612223
Vermont,50,2002,615442
Vermont,50,2003,617858
Vermont,50,2004,619920
Vermont,50,2005,621215
Vermont,50,2006,622892
Vermont,50,2007,623481
Vermont,50,2008,624151
Vermont,50,2009,624817
Vermont,50,2010,625886
Vermont,50,2011,627197
Vermont,50,2012,626361
Vermont,50,2013,626603
Vermont,50,2014,625693
Vermont,50,2015,625810
Vermont,50,2016,624366
Vermont,50,2017,625132
Vermont,50,2018,624802
Vermont,50,2019,624046
Vermont,50,2020,642977
Vermont,50,2021,647210
Vermont,50,2022,648142
Vermont,50,2023,648708
Vermont,50,2024,648493
Virginia,51,2000,7105817
Virginia,51,2001,7198362
Virginia,51,2002,7286873
Virginia,51,2003,7366977
Virginia,51,2004,7475575
Virginia,51,2005,7577105
Virginia,51,2006,7673725
Virginia,51,2007,7751000
Virginia,51,2008,7833496
Virginia,51,2009,7925937
Virginia,51,2010,8024004
Virginia,51,2011,8102437
Virginia,51,2012,8187456
Virginia,51,2013,8255861
Virginia,51,2014,8315430
Virginia,51,2015,8367303
Virginia,51,2016,8417651
Virginia,51,2017,8471011
Virginia,51,2018,8510920
Virginia,51,2019,8556642
Virginia,51,2020,8637615
Virginia,51,2021,8658910
Virginia,51,2022,8683414
Virginia,51,2023,8734685
Virginia,51,2024,8811195
Washington,53,2000,5910512
Washington,53,2001,5985722
Washington,53,2002,6052349
Washington,53,2003,6104115
Washington,53,2004,6178645
Washington,53,2005,6257305
Washington,53,2006,6370753
Washington,53,2007,6461587
Washington,53,2008,6562231
Washington,53,2009,6667426
Washington,53,2010,6743009
Washington,53,2011,6827479
Washington,53,2012,6898599
Washington,53,2013,6966252
Washington,53,2014,7057531
Washington,53,2015,7167287
Washington,53,2016,7299961
Washington,53,2017,7427951
Washington,53,2018,7526793
Washington,53,2019,7614024
Washington,53,2020,7727209
Washington,53,2021,7743760
Washington,53,2022,7794123
Washington,53,2023,7857320
Washington,53,2024,7958180
West Virginia,54,2000,1807021
West Virginia,54,2001,1801481
West Virginia,54,2002,1805414
West Virginia,54,2003,1812295
West Virginia,54,2004,1816438
West Virginia,54,2005,1820492
West Virginia,54,2006,1827912
West Virginia,54,2007,1834052
West Virginia,54,2008,1840310
West Virginia,54,2009,1847775
West Virginia,54,2010,1854265
West Virginia,54,2011,1856606
West Virginia,54,2012,1857446
West Virginia,54,2013,1854768
West Virginia,54,2014,1850569
West Virginia,54,2015,1843332
West Virginia,54,2016,1832435
West Virginia,54,2017,1818683
West Virginia,54,2018,1805953
West Virginia,54,2019,1795263
West Virginia,54,2020,1791646
West Virginia,54,2021,1785618
West Virginia,54,2022,1774122
West Virginia,54,2023,1770495
West Virginia,54,2024,1769979
Wisconsin,55,2000,5373999
Wisconsin,55,2001,5406835
Wisconsin,55,2002,5445162
Wisconsin,55,2003,5479203
Wisconsin,55,2004,5514026
Wisconsin,55,2005,5546166
Wisconsin,55,2006,5577655
Wisconsin,55,2007,5610775
Wisconsin,55,2008,5640996
Wisconsin,55,2009,5669264
Wisconsin,55,2010,5690538
Wisconsin,55,2011,5705840
Wisconsin,55,2012,5720825
Wisconsin,55,2013,5738012
Wisconsin,55,2014,5753199
Wisconsin,55,2015,5762927
Wisconsin,55,2016,5775170
Wisconsin,55,2017,5793147
Wisconsin,55,2018,5809319
Wisconsin,55,2019,5824581
Wisconsin,55,2020,5897375
Wisconsin,55,2021,5881608
Wisconsin,55,2022,5903975
Wisconsin,55,2023,5930405
Wisconsin,55,2024,5960975
Wyoming,56,2000,494300
Wyoming,56,2001,494657
Wyoming,56,2002,500017
Wyoming,56,2003,503453
Wyoming,56,2004,509106
Wyoming,56,2005,514157
Wyoming,56,2006,522667
Wyoming,56,2007,534876
Wyoming,56,2008,546043
Wyoming,56,2009,559851
Wyoming,56,2010,564531
Wyoming,56,2011,567491
Wyoming,56,2012,576656
Wyoming,56,2013,582620
Wyoming,56,2014,583159
Wyoming,56,2015,586389
Wyoming,56,2016,585243
Wyoming,56,2017,579994
Wyoming,56,2018,579054
Wyoming,56,2019,580116
Wyoming,56,2020,577681
Wyoming,56,2021,579636
Wyoming,56,2022,581978
Wyoming,56,2023,585067
Wyoming,56,2024,587618
